,tokens,ner_tags,pred
0,2022.acl-long.1.txt,O,O
1,Ali,O,O
2,ModarressiHosein,O,O
3,MohebbiMohammad,O,O
4,Taher,O,O
5,PilehvarIran,O,O
6,University,O,O
7,of,O,O
8,Science,O,O
9,and,O,O
10,Technology,O,O
11,",",O,O
12,IranCognitive,O,O
13,Science,O,O
14,and,O,O
15,AI,O,O
16,",",O,O
17,Tilburg,O,O
18,University,O,O
19,",",O,O
20,NetherlandsTehran,O,O
21,Institute,O,O
22,for,O,O
23,Advanced,O,O
24,Studies,O,O
25,",",O,O
26,Khatam,O,O
27,University,O,O
28,",",O,O
29,Iran,O,O
30,m_modarressi,O,O
31,@,O,O
32,comp.iust.ac.ir,O,O
33,h.mohebbi,O,O
34,@,O,O
35,uvt.nl,O,O
36,mp792,O,O
37,@,O,O
38,cam.ac.uk,O,O
39,Abstract,O,B-TaskName
40,Pre,O,O
41,-,O,O
42,trained,O,O
43,language,O,O
44,models,O,O
45,have,O,O
46,shown,O,O
47,stel-,O,O
48,lar,O,O
49,performance,O,O
50,in,O,O
51,various,O,O
52,downstream,O,O
53,tasks,O,O
54,.,O,O
55,But,O,O
56,",",O,O
57,this,O,O
58,usually,O,O
59,comes,O,O
60,at,O,O
61,the,O,O
62,cost,O,O
63,of,O,O
64,high,O,O
65,latency,O,O
66,and,O,O
67,computation,O,O
68,",",O,O
69,hindering,O,O
70,their,O,O
71,us-,O,O
72,age,O,O
73,in,O,O
74,resource,O,O
75,-,O,O
76,limited,O,O
77,settings,O,O
78,.,O,O
79,In,O,O
80,this,O,O
81,work,O,O
82,",",O,O
83,we,O,O
84,propose,O,O
85,a,O,O
86,novel,O,O
87,approach,O,O
88,for,O,O
89,reducing,O,O
90,the,O,O
91,computational,O,O
92,cost,O,O
93,of,O,O
94,BERT,B-MethodName,B-MethodName
95,with,O,O
96,minimal,O,O
97,loss,O,O
98,in,O,O
99,downstream,O,O
100,performance,O,O
101,.,O,O
102,Our,O,O
103,method,O,O
104,dy-,O,O
105,namically,O,O
106,eliminates,O,O
107,less,O,O
108,contributing,O,O
109,tokens,O,B-HyperparameterName
110,through,O,O
111,layers,O,B-HyperparameterName
112,",",O,O
113,resulting,O,O
114,in,O,O
115,shorter,O,O
116,lengths,O,O
117,and,O,O
118,consequently,O,O
119,lower,O,O
120,computational,O,O
121,cost,O,O
122,.,O,O
123,To,O,O
124,determine,O,O
125,the,O,O
126,importance,O,O
127,of,O,O
128,each,O,O
129,token,O,O
130,rep-,O,O
131,resentation,O,O
132,",",O,O
133,we,O,O
134,train,O,O
135,a,O,O
136,Contribution,B-MethodName,B-MethodName
137,Predictor,I-MethodName,I-MethodName
138,for,O,O
139,each,O,O
140,layer,O,O
141,using,O,O
142,a,O,O
143,gradient,O,O
144,-,O,O
145,based,O,O
146,saliency,O,O
147,method,O,O
148,.,O,O
149,Our,O,O
150,experiments,O,O
151,on,O,O
152,several,O,O
153,diverse,O,O
154,classification,O,O
155,tasks,O,O
156,show,O,O
157,speedups,O,O
158,up,O,O
159,to,O,O
160,22x,O,O
161,during,O,O
162,inference,O,O
163,time,O,O
164,without,O,O
165,much,O,O
166,sacrifice,O,O
167,in,O,O
168,performance,O,O
169,.,O,O
170,We,O,O
171,also,O,O
172,validate,O,O
173,the,O,O
174,quality,O,B-MethodName
175,of,O,O
176,the,O,O
177,selected,O,O
178,tokens,O,B-HyperparameterName
179,in,O,O
180,our,O,O
181,method,O,O
182,using,O,O
183,hu-,O,O
184,man,O,O
185,annotations,O,O
186,in,O,O
187,the,O,O
188,ERASER,B-DatasetName,B-DatasetName
189,benchmark,O,O
190,.,O,O
191,In,O,O
192,comparison,O,O
193,to,O,O
194,other,O,O
195,widely,O,O
196,used,O,O
197,strategies,O,O
198,for,O,O
199,selecting,O,O
200,important,O,O
201,tokens,O,B-HyperparameterName
202,",",O,O
203,such,O,O
204,as,O,O
205,saliency,O,O
206,andattention,O,O
207,",",O,O
208,our,O,O
209,proposed,O,O
210,method,O,O
211,has,O,O
212,a,O,O
213,sig-,O,O
214,nificantly,O,O
215,lower,O,O
216,false,O,O
217,positive,O,O
218,rate,O,O
219,in,O,O
220,generat-,O,O
221,ing,O,O
222,rationales,O,O
223,.,O,O
224,Our,O,O
225,code,O,O
226,is,O,O
227,freely,O,O
228,available,O,O
229,athttps,O,O
230,:,O,O
231,/,O,O
232,/,O,O
233,github.com,O,O
234,/,O,O
235,amodaresi,O,O
236,/,O,O
237,AdapLeR,O,B-MethodName
238,.,O,O
239,1,O,B-HyperparameterValue
240,Introduction,O,O
241,While,O,O
242,large,O,O
243,-,O,O
244,scale,O,O
245,pre,O,O
246,-,O,O
247,trained,O,O
248,language,O,O
249,models,O,O
250,ex-,O,B-MetricName
251,hibit,O,O
252,remarkable,O,O
253,performances,O,O
254,on,O,O
255,various,O,O
256,NLP,O,B-TaskName
257,benchmarks,O,O
258,",",O,O
259,their,O,O
260,excessive,O,O
261,computational,O,O
262,costs,O,O
263,and,O,O
264,high,O,O
265,inference,O,O
266,latency,O,O
267,have,O,O
268,limited,O,O
269,their,O,O
270,us-,O,O
271,age,O,O
272,in,O,O
273,resource,O,O
274,-,O,O
275,limited,O,O
276,settings,O,O
277,.,O,O
278,In,O,O
279,this,O,O
280,regard,O,O
281,",",O,O
282,there,O,O
283,have,O,O
284,been,O,O
285,various,O,O
286,attempts,O,O
287,at,O,O
288,improving,O,O
289,the,O,O
290,efficiency,O,O
291,of,O,O
