id,input,ner_tags,pred
0,-DOCSTART-,O,X
1,Seyed,O,O
2,Morteza,O,O
3,Mirbostani,O,O
4,",",O,O
5,Yasaman,O,O
6,Boreshban,O,O
7,Dpt,O,O
8,.,O,O
9,of,O,O
10,Computer,O,O
11,Engineering,O,O
12,",",O,O
13,University,O,O
14,of,O,O
15,Guilan,O,O
16,",",O,O
17,Rasht,O,O
18,",",O,O
19,Iran,O,O
20,{,O,O
21,m.mirbostani,O,O
22,",",O,O
23,boreshban,O,O
24,},O,O
25,@,O,O
26,msc.guilan.ac.ir,O,O
27,Salam,O,O
28,Khalifa,O,O
29,",",O,O
30,Seyed,O,O
31,Abolghasem,O,O
32,Mirroshandel,O,O
33,",",O,O
34,and,O,O
35,Owen,O,O
36,Rambow,O,O
37,Dpt,O,O
38,.,O,O
39,of,O,O
40,Linguistics,O,O
41,and,O,O
42,Institute,O,O
43,for,O,O
44,Advanced,O,O
45,Computational,O,O
46,Science,O,O
47,(,O,O
48,IACS,O,O
49,),O,O
50,Stony,O,O
51,Brook,O,O
52,University,O,O
53,",",O,O
54,Stony,O,O
55,Brook,O,O
56,",",O,O
57,USA,O,O
58,{,O,O
59,first.last,O,O
60,},O,O
61,@,O,O
62,stonybrook.edu,O,O
63,Abstract,O,O
64,Building,O,O
65,a,O,O
66,system,O,O
67,for,O,O
68,morphological,B-TaskName,B-TaskName
69,processing,I-TaskName,I-TaskName
70,is,O,O
71,a,O,O
72,challenging,O,O
73,task,O,O
74,in,O,O
75,morphologically,O,O
76,complex,O,O
77,languages,O,O
78,like,O,O
79,Arabic,O,O
80,.,O,O
81,Although,O,O
82,there,O,O
83,are,O,O
84,some,O,O
85,deep,O,O
86,learning,O,O
87,based,O,O
88,models,O,O
89,that,O,O
90,achieve,O,O
91,successful,O,O
92,results,O,O
93,",",O,O
94,these,O,O
95,models,O,O
96,rely,O,O
97,on,O,O
98,a,O,O
99,large,O,O
100,amount,O,O
101,of,O,O
102,annotated,O,O
103,data,O,O
104,.,O,O
105,Building,O,O
106,such,O,O
107,datasets,O,O
108,",",O,O
109,specially,O,O
110,for,O,O
111,some,O,O
112,of,O,O
113,the,O,O
114,lower,O,O
115,-,O,O
116,resource,O,O
117,Arabic,O,O
118,dialects,O,O
119,",",O,O
120,is,O,O
121,very,O,O
122,difficult,O,O
123,",",O,O
124,time,O,O
125,-,O,O
126,consuming,O,O
127,",",O,O
128,and,O,O
129,expensive,O,O
130,.,O,O
131,In,O,O
132,addition,O,O
133,",",O,O
134,some,O,O
135,parts,O,O
136,of,O,O
137,the,O,O
138,annotated,O,O
139,data,O,O
140,do,O,O
141,not,O,O
142,contain,O,O
143,useful,O,O
144,information,O,O
145,for,O,O
146,training,O,O
147,machine,O,O
148,learning,O,O
149,models,O,O
150,.,O,O
151,Active,O,O
152,learning,O,O
153,strategies,O,O
154,allow,O,O
155,the,O,O
156,learner,O,O
157,algorithm,O,O
158,to,O,O
159,select,O,O
160,the,O,O
161,most,O,O
162,informative,O,O
163,samples,O,O
164,for,O,O
165,annotation,O,O
166,.,O,O
167,There,O,O
168,has,O,O
169,been,O,O
170,little,O,O
171,research,O,O
172,that,O,O
173,focuses,O,O
174,on,O,O
175,applying,O,O
176,active,O,O
177,learning,O,B-TaskName
178,for,O,O
179,morphological,B-TaskName,B-TaskName
180,inflection,I-TaskName,I-TaskName
181,and,O,O
182,morphophonological,B-TaskName,O
183,processing,I-TaskName,B-TaskName
184,.,O,O
185,In,O,O
186,this,O,O
187,paper,O,O
188,",",O,O
189,we,O,O
190,have,O,O
191,proposed,O,O
192,a,O,O
193,deep,B-MethodName,O
194,active,I-MethodName,B-MethodName
195,learning,I-MethodName,O
196,method,O,O
197,for,O,O
198,this,O,O
199,task,O,O
200,.,O,O
201,Our,O,O
202,experiments,O,O
203,on,O,O
204,Egyptian,O,O
205,Arabic,O,O
206,show,O,O
207,that,O,O
208,with,O,O
209,only,O,O
210,about,O,O
211,30,O,O
212,%,O,O
213,of,O,O
214,annotated,O,O
215,data,O,O
216,",",O,O
217,we,O,O
218,achieve,O,O
219,the,O,O
220,same,O,O
221,results,O,O
222,as,O,O
223,does,O,O
224,the,O,O
225,state,O,O
226,-,O,O
227,of,O,O
228,-,O,O
229,the,O,O
230,-,O,O
231,art,O,O
232,model,O,O
233,on,O,O
234,the,O,O
235,whole,O,O
236,dataset,O,O
237,.,O,O
238,1,O,O
239,Introduction,O,O
240,Recently,O,O
241,",",O,O
242,there,O,O
243,has,O,O
244,been,O,O
245,lots,O,O
246,of,O,O
247,interest,O,O
248,in,O,O
249,morphological,B-TaskName,B-TaskName
250,(,I-TaskName,O
251,re-,I-TaskName,B-TaskName
252,),I-TaskName,I-TaskName
253,inflection,I-TaskName,I-TaskName
254,processing,I-TaskName,I-TaskName
255,(,O,O
256,Narasimhan,O,O
257,et,O,O
258,al,O,O
259,.,O,O
260,",",O,O
261,2015,O,O
262,;,O,O
263,Kirov,O,O
264,and,O,O
265,Cotterell,O,O
266,",",O,O
267,2018,O,O
268,;,O,O
269,Belth,O,O
270,et,O,O
271,al,O,O
272,.,O,O
273,",",O,O
274,2021,O,O
275,),O,O
276,.,O,O
277,Having,O,O
278,an,O,O
279,acceptable,O,O
280,model,O,O
281,for,O,O
282,morphological,B-TaskName,O
283,processing,I-TaskName,O
284,will,O,O
285,help,O,O
286,improve,O,O
287,the,O,O
288,performance,O,O
289,of,O,O
290,different,O,O
291,natural,O,B-TaskName
292,language,O,I-TaskName
293,processing,O,I-TaskName
294,(,O,O
295,NLP,O,B-TaskName
296,),O,O
297,tasks,O,O
298,like,O,O
299,speech,O,B-TaskName
300,synthesis,O,I-TaskName
301,(,O,O
302,Halabi,O,O
303,",",O,O
304,2016,O,O
305,),O,O
306,",",O,O
307,morphological,O,B-TaskName
308,disambiguation,O,I-TaskName
309,(,O,O
310,Khalifa,O,O
311,et,O,O
312,al,O,O
313,.,O,O
314,",",O,O
315,2020,O,O
316,;,O,O
317,Inoue,O,O
318,et,O,O
319,al,O,O
320,.,O,O
321,",",O,O
322,2021,O,O
323,),O,O
324,",",O,O
325,and,O,O
326,machine,O,B-TaskName
327,translation,O,I-TaskName
328,(,O,O
329,Sennrich,O,O
330,and,O,O
331,Haddow,O,O
332,",",O,O
333,2016,O,O
334,;,O,O
335,Erdmann,O,O
336,et,O,O
337,al,O,O
338,.,O,O
339,",",O,O
340,2019,O,O
341,;,O,O
342,Alhafni,O,O
343,et,O,O
344,al,O,O
345,.,O,O
346,",",O,O
347,2020,O,O
348,),O,O
349,.,O,O
350,Despite,O,O
351,recent,O,O
352,progress,O,O
353,in,O,O
354,this,O,O
355,field,O,O
356,of,O,O
357,study,O,O
358,",",O,O
359,there,O,O
360,are,O,O
361,lots,O,O
362,of,O,O
363,challenges,O,O
364,for,O,O
365,low,O,O
366,-,O,O
367,resource,O,O
368,languages,O,O
369,.,O,O
370,Especially,O,O
371,for,O,O
372,utilizing,O,O
373,successful,O,O
374,but,O,O
375,data,O,O
376,-,O,O
377,hungry,O,O
378,deep,O,O
379,learning,O,B-TaskName
380,(,O,O
381,DL,O,O
382,),O,O
383,models,O,O
384,",",O,O
385,the,O,O
386,need,O,O
387,for,O,O
388,annotated,O,O
389,data,O,O
390,is,O,O
391,vital,O,O
392,.,O,O
393,However,O,O
394,",",O,O
395,data,O,O
396,annotation,O,O
397,is,O,O
398,a,O,O
399,hard,O,O
400,",",O,O
401,expensive,O,O
402,",",O,O
403,and,O,O
404,time,O,O
405,-,O,O
406,consuming,O,O
407,task,O,O
408,.,O,O
409,In,O,O
410,addition,O,O
411,",",O,O
412,lots,O,O
413,of,O,O
414,annotated,O,O
415,data,O,O
416,does,O,O
417,not,O,O
418,contain,O,O
419,useful,O,O
420,information,O,O
421,for,O,O
422,improving,O,O
423,the,O,O
424,quality,O,O
425,of,O,O
426,a,O,O
427,learning,O,O
428,algorithm,O,O
429,.,O,O
430,In,O,O
431,this,O,O
432,paper,O,O
433,",",O,O
434,we,O,O
435,propose,O,O
436,a,O,O
437,deep,B-MethodName,B-MethodName
438,active,I-MethodName,I-MethodName
439,learning,I-MethodName,I-MethodName
440,(,O,O
441,DAL,B-MethodName,B-MethodName
442,),O,O
443,algorithm,O,B-MethodName
444,for,O,O
445,morphophonological,B-TaskName,B-TaskName
446,processing,I-TaskName,I-TaskName
447,that,O,O
448,is,O,O
449,able,O,O
450,to,O,O
451,decrease,O,O
452,the,O,O
453,need,O,O
454,for,O,O
455,annotated,O,O
456,data,O,O
457,",",O,O
458,by,O,O
459,using,O,O
460,only,O,O
461,informative,O,O
462,samples,O,O
463,.,O,O
464,In,O,O
465,our,O,O
466,experiments,O,O
467,",",O,O
468,we,O,O
469,have,O,O
470,chosen,O,O
471,Arabic,O,O
472,",",O,O
473,a,O,O
474,morphologically,O,O
475,rich,O,O
